merged_row_index,query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags,source_file,source_app,source_platform,male_count,female_count,total_players_from_gender,total_players_mentioned,duration_hours,difficulty,release_year,release_month,total_players,release_date,duration_bin,suspicious_want_count,usable_for_popularity_analysis
21,夜行惊奇卷,怪闻！夜行惊奇卷,7.5,7.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,38395.0,60271.0,3528,葵花工作室; 咪咕挑灯工作室,3男3女 5.5小时 高阶 2022.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,5.5,高阶,2022,6,6,2022-06-01,5-6h,False,True
22,群雄逐鹿,群雄逐鹿,8.7,7.9,0.0,0.0,0.0,7.2,8.4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,41583.0,74259.0,3720,FB发行工作室,5男3女 7.0小时 进阶 2022.05发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,3,8,,7.0,进阶,2022,5,8,2022-05-01,6-8h,False,True
23,玛丽苏推理守则,玛丽苏推理守则,7.3,6.7,6.8,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,16359.0,29558.0,1460,隐匿角色,3男4女 4.0小时 进阶 2022.03发行,日式 推理 欢乐 二次元,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,4,7,,4.0,进阶,2022,3,7,2022-03-01,3-4h,False,True
24,林记凉茶铺,林记凉茶铺：1996,8.5,7.9,0.0,0.0,0.0,8.1,0.0,0.0,0.0,8.2,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,35057.0,2531,国家地理探测室,3男3女 4.5小时 进阶 2022.03发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2022,3,6,2022-03-01,4-5h,True,False
25,疯子和疯子和疯子,疯子和疯子和疯子和疯子和疯子和疯子,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0,0,0,6.7,0.0,0,0,0,0,6578.0,71707.0,2725,旧梦改造车间,3男3女 4.5小时 进阶 2022.01发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2022,1,6,2022-01-01,4-5h,False,True
34,恐怖童谣,恐怖童谣惊魂祭,5.8,6.6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,494.0,4768.0,64,,4男2女 4.0小时 进阶 2020.05发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,4.0,进阶,2020,5,6,2020-05-01,3-4h,False,True
38,古堡惊魂,古堡惊魂,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,,5男3女 4.5小时 进阶,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,3,8,,4.5,进阶,,,8,,4-5h,False,True
155,幕后玩家,幕后玩家2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,0.0,0,三更工作室,6男1女 4.5小时 进阶,港澳 推理 沉浸 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,6,1,7,,4.5,进阶,,,7,,4-5h,True,False
156,记忆碎片,记忆碎片,7.9,7.2,0.0,0.0,7.5,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,3.8,47141.0,1294,Siren剧本工作室,4男3女 3.0小时 新手 2018.03发行,欧美 机制 欢乐 玄幻,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,3.0,新手,2018,3,7,2018-03-01,<=3h,True,False
161,恶果,恶果,6.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.5,0,0,0,0,626.0,3587.0,55,飞鱼计划-八号剧本工作室,4男2女 4.5小时 进阶 2018.04发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,4.5,进阶,2018,4,6,2018-04-01,4-5h,False,True
163,泥潭,泥潭,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,0.0,0,岛屿工作室,2男4女 7.0小时 新手 2026.04发行,中式 情感 沉浸 其他,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,2,4,6,,7.0,新手,2026,4,6,2026-04-01,6-8h,True,False
176,费马的审判,费马的审判,7.3,7.1,7.1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,26316.0,53870.0,1208,肆言良语,3男3女 5.0小时 进阶 2019.03发行,日式 推理 悬疑 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,5.0,进阶,2019,3,6,2019-03-01,4-5h,False,True
180,无咎,无咎,6.6,6.8,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,12847.0,217,荒诞剧社,3男3女 4.5小时 进阶 2019.06发行,中式 推理 沉浸 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2019,6,6,2019-06-01,4-5h,True,False
183,嗜血黄昏,嗜血黄昏,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,同盟救济会,6男1女 4.5小时 进阶,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,6,1,7,,4.5,进阶,,,7,,4-5h,False,True
296,今夕又何年,今夕又何年,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,0.0,0,羽砚剧本工作室,3男3女 4.5小时 进阶 2020.09发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2020,9,6,2020-09-01,4-5h,True,False
297,安娜2:降临,安娜2：降临,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,雲深工作室,4男3女 4.5小时 进阶 2019.10发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,4.5,进阶,2019,10,7,2019-10-01,4-5h,False,True
310,猫脸老太,猫脸老太,7.2,7.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,14985.0,30985.0,547,灰帆文化,3男3女 4.0小时 进阶 2020.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,进阶,2020,6,6,2020-06-01,3-4h,False,True
313,山河永寂,山河永寂,7.2,7.1,6.4,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,47082.0,1045,威海不二工作室,3男3女 4.5小时 新手 2020.07发行,古风 情感 沉浸 家国,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,新手,2020,7,6,2020-07-01,4-5h,True,False
318,大钟,大钟,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,面游时代,3男3女 4.5小时 进阶 2020.05发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2020,5,6,2020-05-01,4-5h,False,True
320,刑事侦缉档案-献祭者,刑事侦缉档案：献祭者,6.3,6.3,0.0,6.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.6,38746.0,896,迷宫推理社,5男3女 4.0小时 高阶 2020.07发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,3,8,,4.0,高阶,2020,7,8,2020-07-01,3-4h,True,False
321,蜕变俱乐部2海的女儿,蜕变俱乐部2：海的女儿,7.2,7.1,0.0,0.0,0.0,6.5,6.9,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,7607.0,14689.0,198,阿斯巴甜,4男3女 4.0小时 高阶 2020.08发行,欧美 机制 沉浸 童话,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,4.0,高阶,2020,8,7,2020-08-01,3-4h,False,True
325,湖心岛2:围局,湖心岛2：围局,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.6,0.0,0,戏精推理发行工作室,2男3女 4.5小时 进阶,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,2,3,5,,4.5,进阶,,,5,,4-5h,True,False
332,前男友的100种死法,前男友的100种死法,4.2,4.9,0.0,0.0,5.6,0.0,4.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,3.8,137071.0,2675,山橘推理; 闲顽工作室,0男5女 4.0小时 新手 2020.09发行,中式 机制 欢乐 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,0,5,5,,4.0,新手,2020,9,5,2020-09-01,3-4h,True,False
335,我于万物之中,我于万物之中,8.2,7.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0,0,0,0.0,0.0,0,0,0,0,37185.0,59383.0,2210,子夜推理工作室,百本选手说剧本:剧本《我于万物之中》6人本 4男2女 剧本类型:盒装本 设定推理 游戏时间:4小时左右 👬适合人群：喜欢 SCP 玩家 ❤剧情感...全文,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,6,4.0,,,,6,,3-4h,False,True
338,人间不值得,人间不值得,4.8,5.6,5.3,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20341.0,29293.0,465,酒葫芦工作室,3男3女 4.0小时 进阶 2020.09发行,架空 推理 欢乐 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,进阶,2020,9,6,2020-09-01,3-4h,False,True
349,新鲜丧尸已送达请签收,新鲜丧尸已送达请签收,6.4,6.5,0.0,0.0,6.9,0.0,6.6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,3.8,13187.0,211,鲜焰文化,5男2女 4.5小时 进阶 2020.11发行,未来 机制 欢乐 怪谈,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,2,7,,4.5,进阶,2020,11,7,2020-11-01,4-5h,True,False
350,上海滩...事件,上海滩事件,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,推理大师,3男2女 2.0小时 新手,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,2,5,,2.0,新手,,,5,,<=3h,False,True
352,渊虞唐,渊虞唐,6.1,6.7,0.0,0.0,0.0,6.6,0.0,0.0,0.0,6.7,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,6228.0,74,剧幕工坊,3男3女 4.0小时 进阶 2020.11发行,古风 情感 演绎 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,进阶,2020,11,6,2020-11-01,3-4h,True,False
353,家宴2继承者们,家宴2：继承者们,7.1,6.8,0.0,0.0,7.4,0.0,6.9,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,3.8,40611.0,794,DA剧本工场; 雪人剧制,剧本类型:火锅/撕逼/欢乐/互动 游戏人数:6人（3男3女） 游戏时常:4小时 体验店家...全文,中式 机制 欢乐 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,6,4.0,,,,6,,3-4h,True,False
354,舍离2-断念,舍离2：断念,5.9,6.2,5.5,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,149987.0,2839,桌立方,3男3女 4.5小时 进阶 2021.01发行,古风 情感 沉浸 玄幻,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2021,1,6,2021-01-01,4-5h,True,False
356,七月半,七月半,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,大连漫纪元剧本工作室,5男2女 4.5小时 进阶,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,2,7,,4.5,进阶,,,7,,4-5h,False,True
357,赤狐书生之佛狸祠下,赤狐书生之佛狸祠下,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,0.0,0,空然新语,3男3女 4.0小时 进阶 2020.12发行,古风 情感 演绎 玄幻,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,进阶,2020,12,6,2020-12-01,3-4h,True,False
362,女厕2冥镜,女厕2：冥镜,5.6,6.3,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,471.0,20901.0,266,梦境岭剧本工作室,3男3女 4.0小时 进阶 2021.01发行,日式 机制 惊悚 校园,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,进阶,2021,1,6,2021-01-01,3-4h,False,True
367,山猪精的幸福生活被打扰之后,山猪精的幸福生活被打扰之后,5.0,5.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5.7,0,0,0,0,5.8,71992.0,1095,东方剧制,3男4女 4.0小时 新手 2021.02发行,架空 阵营 欢乐 新手,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,4,7,,4.0,新手,2021,2,7,2021-02-01,3-4h,True,False
370,晓人间落月,晓人间·落月,5.6,6.0,5.8,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,18418.0,264,月石工作室,2男3女 4.0小时 新手 2021.07发行,中式 情感 沉浸 校园,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,2,3,5,,4.0,新手,2021,7,5,2021-07-01,3-4h,True,False
371,oh!我亲爱的老同学,Oh！我亲爱的老同学,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,沧之溟工作室,4男4女 4.5小时 进阶 2021.04发行,中式 推理 欢乐 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,4,8,,4.5,进阶,2021,4,8,2021-04-01,4-5h,False,True
374,黑子迷局2:无光诡局,黑子迷局2：无光诡局,6.1,6.4,0.0,6.5,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.6,7928.0,109,燃工作室,4男4女 4.0小时 高阶,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,4,8,,4.0,高阶,,,8,,3-4h,True,False
375,陪葬,陪葬,6.1,6.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,19864.0,32394.0,533,葵花工作室,3男3女 6.0小时 进阶 2021.06发行,古风 推理 惊悚 宫廷,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,6.0,进阶,2021,6,6,2021-06-01,5-6h,False,True
376,兵临城下2,兵临城下2：你好，新天津,6.2,6.6,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5.9,0,0,0,0,1.1,85434.0,1576,老玉米联合工作室,4男4女 4.0小时 进阶 2021.06发行,民国 情感 沉浸 战争,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,4,8,,4.0,进阶,2021,6,8,2021-06-01,3-4h,True,False
380,通缉令掘齿者,通缉令掘齿者,8.1,7.1,7.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,30473.0,47391.0,1862,A+剧本工作室,3男2女 4.5小时 高阶 2021.04发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,2,5,,4.5,高阶,2021,4,5,2021-04-01,4-5h,False,True
381,天国,天国,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,入梦剧制,4男3女 5.0小时 高阶 2021.12发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,5.0,高阶,2021,12,7,2021-12-01,4-5h,False,True
384,"死神,癫狂与逻辑学家",死神癫狂与逻辑学家,4.5,5.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.2,0.0,0,0,0,0,1.4,28240.0,474,松火推理; 东方剧制,3男3女 4.5小时 进阶 2021.07发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2021,7,6,2021-07-01,4-5h,True,False
385,咆哮吧!恶龙,咆哮吧！恶龙,5.4,5.7,0.0,0.0,6.2,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,6091.0,18108.0,260,浮生梦文创; 饭团娱乐,4男4女 4.0小时 新手 2021.07发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,4,8,,4.0,新手,2021,7,8,2021-07-01,3-4h,False,True
387,点妖簿,点妖簿,7.3,7.0,6.6,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,17873.0,408,猫又集,4男2女 4.0小时 进阶 2020.12发行,古风 情感 沉浸 玄幻,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,4.0,进阶,2020,12,6,2020-12-01,3-4h,True,False
388,复泉楼,复泉楼,6.6,6.8,6.6,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,9656.0,460,智乐源文化,【复泉楼】豪门系列／推理／阵营／还原／本格 【角色时长】吕微至／4小时 【人数配置】3男3女／可反串 【推荐角色】谷负相对边缘 【彩蛋联动】豪门本特有栏目！复泉楼与裂镜重圆、泉之馆有彩蛋联动，另外一个联动可能影响游...全文,民国 推理 沉浸 豪门,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.0,,,,6,,3-4h,True,False
389,鲸鱼马戏团,鲸鱼马戏团,7.9,7.5,6.4,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,159501.0,5179,黑羽毛工作室; LARP原创工作室,〖补测评〗 类型：欢乐 情感（纯亲情）推理 时长：4小时 人数：二男四女（我们仙女局） 体验角色：飞飞（废...全文,其他 情感 沉浸 童话,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,2,4,6,,4.0,,,,6,,3-4h,True,False
390,想要成为rapstar吗,想要成为RapStar吗,6.3,6.1,0.0,0.0,7.0,0.0,6.2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,3.8,21776.0,362,庐州怪兽工作室,百本选手说剧本:剧本《想要成为RapStar吗》8人本 4男4女 剧本类型:盒装本 欢乐本 游戏时间:5小时左右 这个本是 2年前 发行的 剧本 现在看 比较简单 故事 还比较 内娱 🈶凶案 🈶唱歌 🈶绕口令 🈶勾心斗角 尔虞吾诈 推荐人群:新手玩家 建议整车 社牛玩家 说唱歌手 18+ 以上 （今天遇到了 顶配车 和 超级DM 所以 ...全文,中式 机制 欢乐 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,4,8,8,5.0,新手,,,8,,4-5h,True,False
392,七月十三日,七月十三日,8.9,8.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,116055.0,118817.0,8007,灰烬工作室,4男2女 6.0小时 高阶 2019.11发行,日式 推理 惊悚 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,6.0,高阶,2019,11,6,2019-11-01,5-6h,False,True
394,蜇蜂之死,蜇蜂之死,7.1,7.0,7.1,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,7.1,1859,外星人,3男3女 5.0小时 高阶 2021.03发行,架空 推理 沉浸 都市,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,5.0,高阶,2021,3,6,2021-03-01,4-5h,True,False
402,校规2返校,第二十二条校规2：返校,4.7,5.6,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,37357.0,83001.0,1249,真相骑士,3男3女 4.5小时 进阶 2021.02发行,日式 推理 惊悚 校园,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,进阶,2021,2,6,2021-02-01,4-5h,False,True
405,备忘录;死后即阅,备忘录：死后即阅,6.7,6.8,0.0,6.8,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.8,52434.0,1304,司家侦探,3男2女 5.0小时 高阶 2021.04发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,2,5,,5.0,高阶,2021,4,5,2021-04-01,4-5h,True,False
409,十二面相,怪人十二面相,8.1,7.9,7.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,35974.0,45596.0,3295,低空飞行,3男3女 6.5小时 高阶 2022.05发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,6.5,高阶,2022,5,6,2022-05-01,6-8h,False,True
410,凤启长安,凤启长安,5.9,6.0,5.8,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,5083.0,118,知道剧行,3男3女 3.0小时 进阶 2021.10发行,古风 情感 沉浸 权谋,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,3.0,进阶,2021,10,6,2021-10-01,<=3h,True,False
412,花与爱莉丝,花与爱莉丝,8.1,7.7,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,5049.0,63987.0,4069,浮生梦文创,4男3女 4.5小时 进阶 2022.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,4.5,进阶,2022,6,7,2022-06-01,4-5h,False,True
