query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
乌骨2:十方杀,乌骨2：十方杀,7.2,7.1,0,0,0,7.3,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,1.1,23309,2270,树人工作室,2男4女 5.5小时 进阶 2023.11发行,古风 情感 沉浸 武侠
沧溟吟完整,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
疯人院2无声悲鸣,逃离疯人院2：无声悲鸣,7.8,7.5,0,0,0,7.3,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,1.1,21854,2063,有仙气工作室,3男3女 5.5小时 新手 2024.01发行,中式 情感 立意 新手
不安岭六畜奇闻无水印,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
深山中的悲鸣夜-li,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
推理要在加班后,推理要在加班后,7.6,7.1,0,0,7.6,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1.5,26509,2927,进化论工作室,4男2女 6.0小时 进阶 2024.05发行,日式 还原 欢乐 都市
万仞青山听水寒,万仞青山听水寒,8.4,7.9,0,0,0,8.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.1,42771,5680,天地之间,3男3女 5.5小时 进阶 2024.06发行,古风 情感 沉浸 仙侠
无尽夏的谎言,无尽夏的谎言,8.0,7.5,7.6,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852,54666,6035,嫌疑猫SUSPECAT; 好困工作室,3男3女 6.5小时 进阶 2024.03发行,日式 推理 悬疑 其他
长梦决2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
葡萄不是幸福的水果,葡萄不是幸福的水果,7.3,7.3,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852,40561,4896,T-Game发行工作室,百本选手说剧本:剧本《葡萄不是幸福的水果》6人本 3男3女（可以反串）或者 7人本 4男3女（可以反串）剧本类型:城限本 还原本 游戏时间:6.5小时左右 👬适合人群：...全文,日式 推理 悬疑 都市
烟云南渡剧本杀,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
当杀意渐起之时,当杀意渐起之时,6.8,7.0,0,0,0,0,0,7.2,0,0,6.9,0,0,0,0,0,0,0,0,0,3,24982,2628,李白工作室; 未来剧业,3男3女 5.5小时 进阶 2025.09发行,
三间堂斩妖讲义,三间堂斩妖讲义,8.2,7.3,8.0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,4852,27434,4380,东方迷雾; 成都剧星球发行工作室,5男1女 7.5小时 进阶 2025.07发行,日式 推理 设定 其他
蒙太奇诡鉴,蒙太奇诡鉴,7.3,7.1,7.4,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,31873,18841,3242,灰烬工作室,3男3女 7.5小时 进阶 2025.03发行,
阙落,阙落,8.2,7.8,0,0,0,8.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.1,59050,8074,玩物立志发行工作室; 棋飞翔,百本选手说剧本:剧本《阙落》6人本 3男3女 剧本类型:城限本 情感本 游戏时间:8小时左右 👬适合人群：情感本 玩家 ❤剧情感受：混...全文,古风 情感 沉浸 历史
未曾消失的TA,未曾消失的TA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852,0,0,宽编事务所,3男3女 5.0小时 进阶 2025.04发行,
我超能,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
归桑梓,归桑梓,8.2,7.7,0,0,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,15977,11887,1619,,3男3女 6.5小时 进阶 2024.12发行,民国 情感 沉浸 家国
嫌疑人X没有现身2,嫌疑人X没有现身2,8.5,7.6,7.8,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852,1739,247,K的游戏,之前体验过小卢老师的《桐花中路》和《加个V吧》，都很棒。于是这次自己买回来这个本自助（感谢我官总提供房间），不出意外的又被帅到了。 这是一个角色分配为两男一女的三人微剧本，游戏时长约3小时。剧本是标准的还原本，不涉及任...全文,
沉默少女的温柔暴动,沉默少女的温柔暴动,6.6,6.7,0,0,7.1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8861,9256,959,鑫梦人生,2男4女 4.5小时 新手 2025.03发行,现代 情感 欢乐 思辨
观山海双生,观山海·双生,7.4,7.2,0,0,0,7.6,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,1.1,45240,6958,浮生梦文创,《观山海.双生》❤️❤️❤️❤️ 📖剧本类型：古风/玄幻/情感/进阶 🙎🏻玩家配置：③男③女 ⌚️体验时长:7.5小时 👍🏻体验店铺：橋Free⭐️⭐️⭐️⭐️⭐️ ❤️DM:合欢/十...全文,古风 情感 沉浸 玄幻
华灯初上,华灯初上,7.9,7.5,0,0,0,7.7,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,1.1,7008,980,仲夏清晨; 二次曝光工作室,3男3女 5.5小时 新手 2025.01发行,中式 情感 沉浸 都市
我的冰箱会跳皮筋,我的冰箱会跳皮筋,7.9,7.4,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4292,15964,1934,棋飞翔,🌟《我的冰箱会跳皮筋》🌟 现代｜都市｜治愈｜情感本 体验店铺:橋Free沉浸式体验馆 DM:白芷 体验时长:6.5小时 玩家配置:三男三女（不...全文,现代 情感 治愈 新手
死不容观,死不容观,7.3,7.3,0,7.2,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,5049,29091,4344,奇迹于你工作室,3男3女 6.0小时 进阶 2025.06发行,
杀意循环,杀意循环,7.7,7.0,7.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4858,16863,2525,极限推理,【九小时脑力鏖战，规则与杀意的终极博弈——硬核狂欢还是推理流水线？】 体验角色：雷 体验时长：9h+ 类型：日式 设定 推理 还原 做题=4:5:1 系列收官 配置：3男3女...全文,
水仙2:回声,水仙2：回声,7.8,7.5,0,0,0,7.6,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,1.1,13867,2386,黎明工作室; 一闪工作室,3男3女 6.5小时 进阶 2025.09发行,
双羽馆解体妄想,双羽馆解体妄想,7.0,6.8,7.3,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4858,21588,3899,进化论工作室,3男3女 7.5小时 高阶 2025.03发行,
逻辑尽头以梦为主,逻辑尽头以梦为主,7.1,6.7,7.2,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,4858,5890,1098,集闲社文创,3男3女 7.0小时 进阶 2025.03发行,
诸神吹灭篝火,诸神吹灭篝火,7.0,6.9,0,0,0,7.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,1.1,9783,1440,上四休三工作室,3男3女 5.5小时 新手 2025.01发行,架空 情感 沉浸 其他
时间演奏者的终章,时间演奏者的终章,7.9,7.6,7.4,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,4858,20283,2872,低空飞行; 表里山河创作,3男3女 6.5小时 进阶 2025.01发行,
安美纳斯DE死亡推想,安美纳斯DE死亡推想,8.8,7.6,8.6,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,4858,62687,10378,KEYS工作室; 引力弹弓,4男2女 8.0小时 进阶 2025.01发行,
坐牢の超能者杀人日常可无需主持人,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
湘西诡事录,湘西诡事录,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,仙人指鹿,3男2女 4.0小时 新手 2025.06发行,
今天您死循环了吗?,今天您死循环了吗？,5.1,0,0,7.0,7.0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,17531,6295,797,天津剧盟发行工作室,3男3女 4.5小时 新手 2025.10发行,
老骗子俱乐部4逛窑,老骗子俱乐部4·逛窑,6.4,6.8,0,0,7.0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,5.8,9915,722,飞鱼探案,3男3女 4.0小时 新手 2025.07发行,日式 阵营 欢乐 都市
牛鬼蛇神,牛鬼蛇神,8.1,7.5,0,0,7.9,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,20430,2055,谜瓜,3男2女 3.5小时 新手 2025.07发行,民国 还原 欢乐 新手
精生白骨,精生白骨,7.9,7.4,0,0,0,0,0,7.5,0,0,7.3,0,0,0,0,0,0,0,0,0,3,10331,1330,九有出品,3男3女 6.0小时 进阶 2025.01发行,
极乐-极樂,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
牛马崩坏时,牛马崩坏时,8.1,7.8,7.5,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39471,44486,6561,,3男3女 7.0小时 进阶 2025.01发行,日式 推理 欢乐 其他
加个V呗:办公室炼情,加个V呗：办公室炼情,6.4,6.6,0,0,7.0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1.5,12015,1125,谜瓜,心智不健全的还是不要来打本了 第一次见一对情侣七夕前一天吵着架迟到一个半小时打个恐怖本 女生想坐另一个帅哥旁边 男...全文,现代 还原 欢乐 新手
怪谈:双生篇,怪谈：双生篇,6.6,6.7,0,6.5,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,5049,6424,1068,三生石工作室,3男3女 6.5小时 新手 2025.01发行,日式 还原 悬疑 新手
废墟中的侦探少女,废墟中的侦探少女,8.3,8.1,0,0,0,0,0,7.9,8.0,0,0,0,0,0,0,0,0,0,0,0,1.4,38268,6199,浮生梦文创,3男3女 7.5小时 进阶 2025.04发行,日式 还原 沉浸 魔法
大漠谣2封狼居胥,大漠谣2封狼居胥,7.5,7.3,0,0,0,7.7,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,1.1,22073,3026,海上仙山,3男4女 6.0小时 进阶 2025.05发行,架空 情感 沉浸 历史
因火成烟,因火成烟,8.6,8.2,8.1,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,4858,106434,18716,低空飞行,4男2女 6.5小时 进阶 2025.03发行,
未闻哥名,未闻哥名,7.9,7.6,0,0,7.9,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,17246,1479,DA剧本工场,剧本类型:欢乐机制 剧本人数:6️⃣（3男3女）可反串 剧本时长:4-5小时 开场就笑到肚子疼，角色都有完整故事线，每个角色都挺中二的😁适合日漫爱好者或者戏精，硬核推理玩家慎入。机智很有趣！流程简单！没...全文,日式 机制 欢乐 二次元
暗河,暗河,7.4,7.0,0,0,0,7.4,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,14783,15548,2069,,2男4女 7.0小时 新手 2024.12发行,
富山高校,富山高校,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,不染尘; 西安七号剧制; 剧库,2男3女 4.5小时 新手 2025.05发行,日式 还原 惊悚 新手
来解决一切的名侦探也死了,来解决一切的名侦探也死了,8.5,8.3,7.9,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,4868,90709,13863,禾风工作室,3男3女 7.0小时 进阶 2025.01发行,日式 推理 设定 其他
东华,东华,5.9,6.0,0,0,0,6.4,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,1.1,14581,1700,造物工作室,2男4女 6.0小时 新手 2025.02发行,古风 情感 沉浸 仙侠
谁偷了朕的外卖,谁偷了朕的外卖！,6.7,6.9,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15503,17085,1127,未来剧业,4男3女 4.5小时 新手 2025.06发行,古风 其他 欢乐 其他
请阅读至100.1%,请阅读至100.1%,6.0,6.4,0,6.2,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,5049,4419,812,慢热TUO; 苏墨工作室,4男3女 7.0小时 进阶 2025.02发行,
青铜咒,青铜咒,5.8,6.3,6.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4868,1374,179,仙人指鹿,3男2女 4.0小时 进阶 2025.03发行,
豪门41歧路梢,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
河堤边的怪死奇谈,河堤边的怪死奇谈,6.6,6.9,0,6.8,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,5049,19829,3093,寻初工作室,3男3女 6.5小时 进阶 2025.05发行,
愚木混珠,愚木混珠,7.6,7.3,7.3,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,19422,21171,2993,,3男3女 6.5小时 进阶 2025.05发行,
花束般的十年,花束般的十年,6.3,6.5,0,0,6.7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8861,15279,1383,东方剧制,3男3女 4.0小时 进阶 2025.01发行,现代 情感 欢乐 其他
天骄,天骄,7.6,7.3,0,0,0,7.7,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,1.1,12149,2883,东方剧制,3男3女 8.0小时 进阶 2025.02发行,古风 情感 沉浸 成长
剧名未定,剧名未定,6.8,6.9,0,6.6,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,5049,12563,1904,极限推理,3男3女 6.0小时 进阶 2025.01发行,
星空沉入冰海,星空沉入冰海,6.3,6.5,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4292,3835,358,德雾昂剧制; 海上仙山; 天地之间,3男3女 4.5小时 新手 2025.05发行,架空 情感 治愈 新手
