query,original_name,sheet,row,source_link,people_count
上坟静点,上坟静点,狐小狸剧本杀目录,67,https://pan.baidu.com/s/1U9ZcDX5AQDaWw7w1dGTolw,6
爱尔兰多的巫师,爱尔兰多的巫师,狐小狸剧本杀目录,68,https://pan.baidu.com/s/1Uc6jB5vmZB_Ayz0KAP7fRA,7
荧光杀人事件,荧光杀人事件（已整理）,狐小狸剧本杀目录,69,https://pan.baidu.com/s/1VkXflu-aLXv_p0MV8ePxjg,4|5|6|7|8|9|10|11|12
兔子的世界下起了胡萝卜雨,兔子的世界下起了胡萝卜雨,狐小狸剧本杀目录,70,https://pan.baidu.com/s/1_J61wVCB5dVN9U2Bez3UGA,6
阴明寺,阴明寺（已整理）,狐小狸剧本杀目录,71,https://pan.baidu.com/s/1YnRZLdIHpxctEVl7jIpdOA,4
奇异人生2100,奇异人生2100（已整理）,狐小狸剧本杀目录,72,https://pan.baidu.com/s/1gYPhxakCb66yi0T5ve4csQ,6
你不知道的事,你不知道的事（已整理）,狐小狸剧本杀目录,73,https://pan.baidu.com/s/1R798Wdez5va9JCnjZw3jzQ,6
你要这么想我也没办法,你要这么想我也没办法,狐小狸剧本杀目录,74,https://pan.baidu.com/s/1d4qx-xvdreqm1A77mE7GnQ,6
达摩克利斯之剑,达摩克利斯之剑（整理）,狐小狸剧本杀目录,75,https://pan.baidu.com/s/1BdGwCVio34SseYFgyOxVbA,6
将死未死的THX,将死未死的THX（整理版）,狐小狸剧本杀目录,76,https://pan.baidu.com/s/1k0OMepsmc-ZJpqCHQZWH-Q,6
大雪侦探和倒霉蛋,大雪侦探和倒霉蛋,狐小狸剧本杀目录,77,https://pan.baidu.com/s/1cYSvjErCC7cjr7s5qp6J0g,6
落子无悔,落子无悔（已整理）,狐小狸剧本杀目录,78,https://pan.baidu.com/s/1wQ-24XV2ymJSFnVABfgt-w,6
夜行惊奇卷,夜行惊奇卷（已整理）,狐小狸剧本杀目录,79,https://pan.baidu.com/s/1TXtLqqeoVD_y925RQopAbQ,6
群雄逐鹿,群雄逐鹿,狐小狸剧本杀目录,81,https://pan.baidu.com/s/12Aonu12EAV7a7v1RyMBNXA,8
听到请回答,听到请回答（已整理）,狐小狸剧本杀目录,82,https://pan.baidu.com/s/1JPfKq71B7l6jWgq5cEdlNw,6
玛丽苏推理守则,玛丽苏推理守则,狐小狸剧本杀目录,83,https://pan.baidu.com/s/1d_8yKYPHkVmGoFVqn9FdWQ,6|7
朱砂,朱砂,狐小狸剧本杀目录,84,https://pan.baidu.com/s/1N7zkX4OhpQSuX4aZ-po3aw,7
一间花铺,一间花铺,狐小狸剧本杀目录,85,https://pan.baidu.com/s/1bk5rPwLIxwluAcFBXwW-lA,6
林记凉茶铺,林记凉茶铺,狐小狸剧本杀目录,86,https://pan.baidu.com/s/1ZYsu0Buj08nb9fZSJBFQLw,6
疯子和疯子和疯子,疯子和疯子和疯子（已整理）,狐小狸剧本杀目录,87,https://pan.baidu.com/s/1FS_l-4wVul-SaoDVwna99g,6
霜华引2,霜华引2（已整理）,狐小狸剧本杀目录,88,https://pan.baidu.com/s/1NUoRAVBKjVykcvGmJeYrhQ,7
日暮归思,日暮归思（已整理）,狐小狸剧本杀目录,89,https://pan.baidu.com/s/1zuPH_3U3DBkk5rxtUJM3hA,6
山河无名,山河无名（已整理）,狐小狸剧本杀目录,90,https://pan.baidu.com/s/1HKaS_1PY4_mW2UnLoan6ug,6
239,239（已整理）,狐小狸剧本杀目录,91,https://pan.baidu.com/s/13n1wPICU7JMR-cxLfXvVzQ,6
甜蜜的家,甜蜜的家（已整理）,狐小狸剧本杀目录,92,https://pan.baidu.com/s/1WxM6mGzJWxGp9_6up-bXcw,5
橡皮,橡皮（已整理）,狐小狸剧本杀目录,93,https://pan.baidu.com/s/122WKoyf0DZ5oEU3aquYv6w,6
发条爸爸,发条爸爸（已整理）,狐小狸剧本杀目录,94,https://pan.baidu.com/s/1TjRj2HMZXRXHSK9yhsZTAA,6
一直下雨的星期天,一直下雨的星期天（已整理）,狐小狸剧本杀目录,95,https://pan.baidu.com/s/1H22Us3khajCALioaHC_6bQ,7
月亮沉入海底时,月亮沉入海底时（已整理）,狐小狸剧本杀目录,96,https://pan.baidu.com/s/1ZzOKEZ9PuxkfmIYkzDhCbQ,6
帕佐庄园,帕佐庄园（已整理）,狐小狸剧本杀目录,97,https://pan.baidu.com/s/1MMxLR17QjMjaIm_va-pONA,6
婚礼谋杀案,婚礼谋杀案（10人半开放）,狐小狸剧本杀目录,98,https://pan.baidu.com/s/141sEItG-sd7LdhFmO2OG7Q,10
怪病侵袭,怪病侵袭（6人开放式）,狐小狸剧本杀目录,99,https://pan.baidu.com/s/1ojYkOl5fUaxsQnMHeLyMeg,6
神秘研究所,神秘研究所（6人开放）,狐小狸剧本杀目录,100,https://pan.baidu.com/s/1kEhtxwvK7q9WAPuS7rONDg,6
禁止入内,禁止入内（6人半开放）,狐小狸剧本杀目录,101,https://pan.baidu.com/s/1-ewibCsDlee9b9XMPKIoSg,6
隋唐大运河原版,隋唐大运河原版（10人开放）,狐小狸剧本杀目录,102,https://pan.baidu.com/s/19XrJ_5LuprICgQrdMh-bqA,10
盛世蓝星号,盛世蓝星号（11人开放）,狐小狸剧本杀目录,103,https://pan.baidu.com/s/1KykHksE7X8J-QnE4MeL_kQ,11
