query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
九霄2,九霄2,7.3,7,0,0,0,7.4,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,3083,16815,852,武汉呱剧本工作室; 葫芦巷发行工作室,今晚打完二讲实话是有点生气的，此本70%演绎都是男主&npc和女主&npc的故事，2个主角很嗨，4个陪玩大眼瞪小眼！这个本的c位太明显了，没拿到的人可能就是干坐7小时，我作为一个边边，中间一度都会有点困（全程演绎的情况下犯困也是少见），此外文笔之烂我也不想...全文,古风 还原 沉浸 玄幻
水镜八奇3群雄逐鹿,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
不夜城,不夜城,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,jio滑的工作室,3男3女 4.5小时 进阶 2024.08发行,现代 机制 欢乐 其他
克塔尼德的安全守则,克塔尼德的安全守则,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,入局文化,3男3女 4.0小时 进阶 2022.07发行,
家长会2爱丽丝的最后一次漫游,家长会2：爱丽丝的最后一次漫游,6.9,7,0,0,0,0,0,0,6.9,0,0,0,0,0,7.2,0,0,0,0,0,6718,5474,214,核桃剧本工作室,3男3女 4.5小时 进阶,
乌骨,乌骨,7.7,7.6,0,0,0,7.6,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,3.4,66401,4493,树人工作室,百本选手说剧本:剧本《乌骨》6人本 4女2男 剧本类型:城限本 情感本 游戏时间:6.5小时左右 👬适合人群：情感本玩家 ❤剧情感受：...全文,古风 情感 沉浸 武侠
树洞,《树洞》,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V崽工作室,2男4女 4.5小时 新手 2022.07发行,中式 情感 沉浸 都市
卖快乐的人,卖快乐的人,7.6,7.4,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,5322,21657,975,橘·剧本实验室,2男3女 4.5小时 新手 2022.07发行,日式 情感 治愈 都市
吟梦集,吟梦集,6,6.2,5.8,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7675,163,婳张工作室,3男3女 5.0小时 进阶 2021.06发行,古风 推理 沉浸 家国
八苦捌苦,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
帕拉丁,帕拉丁（PALADIN）,7.3,6.6,0,0,7,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,9517,17790,782,知道剧行,4男3女 6.0小时 进阶 2022.05发行,
六个盒子β帕佐庄园,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
桔梗花消失的秋天,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
丁达尔克的神奇夜,丁达尔克的神奇夜,7.7,7.7,7.2,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47598,122322,6922,灰烬工作室,3男3女 6.0小时 进阶 2022.07发行,架空 机制 沉浸 进阶
王府跪谈,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
兔子世界下起胡萝卜雨,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
